frame,timestamp_ns,raw_z,z_filt,w_px,conf
1390,1783400654310509313,2.543,2.432,76.1,0.849
1395,1783400654473527765,2.462,2.462,78.6,0.853
1400,1783400654630232430,2.520,2.498,76.8,0.856
1405,1783400654799535323,2.129,2.498,90.9,0.843
1410,1783400654963206182,2.280,2.462,84.9,0.850
1415,1783400655131267781,2.364,2.364,81.8,0.837
1420,1783400655299717185,2.487,2.364,77.8,0.838
1425,1783400655463455723,2.386,2.364,81.1,0.830
1430,1783400655641464702,2.162,2.364,89.5,0.841
1435,1783400655798776789,2.287,2.364,84.6,0.846
1440,1783400655963407580,2.502,2.386,77.3,0.810
1445,1783400656131414074,2.385,2.385,81.1,0.839
1450,1783400656299470382,2.504,2.385,77.3,0.837
1455,1783400656463561449,2.534,2.502,76.4,0.833
1460,1783400656630988093,2.481,2.502,78.0,0.831
1465,1783400656799009576,2.377,2.481,81.4,0.816
1470,1783400656963279222,2.382,2.481,81.2,0.821
1475,1783400657131351903,2.360,2.382,82.0,0.829
1480,1783400657299248759,2.394,2.382,80.8,0.830
1485,1783400657463611561,2.398,2.382,80.7,0.831
1490,1783400657631280494,2.327,2.382,83.2,0.837
1495,1783400657809483171,2.373,2.373,81.5,0.828
1500,1783400657963463588,2.270,2.373,85.2,0.840
1505,1783400658131832090,2.187,2.327,88.5,0.830
1510,1783400658299654235,2.007,2.270,96.4,0.836
1515,1783400658463351384,2.149,2.187,90.0,0.842
1520,1783400658631635025,2.097,2.149,92.3,0.832
1525,1783400658795617716,2.036,2.097,95.0,0.836
1530,1783400658963669467,2.104,2.097,92.0,0.837
1535,1783400659132228229,2.102,2.102,92.0,0.840
1540,1783400659296350505,2.032,2.097,95.2,0.846
1545,1783400659464363592,2.046,2.046,94.6,0.846
1550,1783400659631309244,2.072,2.072,93.4,0.844
1555,1783400659795652539,1.983,2.046,97.6,0.829
1560,1783400659963780073,2.014,2.032,96.1,0.833
1565,1783400660130650503,2.134,2.046,90.7,0.843
1570,1783400660295630677,1.987,2.014,97.4,0.837
1575,1783400660463184221,1.927,1.987,100.4,0.846
1580,1783400660632303206,2.025,2.014,95.6,0.838
1585,1783400660795093646,1.955,1.987,99.0,0.850
1590,1783400660976407224,1.906,1.955,101.5,0.848
1595,1783400661130646162,2.029,1.955,95.4,0.842
1600,1783400661294718403,1.994,1.994,97.0,0.841
1605,1783400661463721478,1.992,1.992,97.1,0.839
1610,1783400661632199527,2.077,1.994,93.2,0.847
1615,1783400661805703790,2.070,2.029,93.5,0.837
1620,1783400661963787662,2.156,2.070,89.8,0.835
1625,1783400662130746358,2.060,2.070,93.9,0.835
1630,1783400662295718857,2.015,2.070,96.0,0.827
1635,1783400662463828067,2.067,2.067,93.6,0.820
1640,1783400662631781019,2.140,2.067,90.4,0.824
1645,1783400662795797865,2.165,2.067,89.4,0.826
1650,1783400662963444807,2.173,2.140,89.0,0.818
1655,1783400663132247763,2.140,2.140,90.4,0.845
1660,1783400663295724454,2.207,2.165,87.7,0.837
1665,1783400663474834842,2.085,2.165,92.8,0.839
1670,1783400663631782758,2.211,2.173,87.5,0.844
1675,1783400663795756914,2.126,2.140,91.0,0.834
1680,1783400663963911929,1.993,2.126,97.1,0.825
1685,1783400664131726539,2.129,2.126,90.9,0.808
1690,1783400664295006076,2.074,2.126,93.3,0.802
1695,1783400664463233529,2.194,2.126,88.2,0.778
1700,1783400664631837648,2.423,2.129,79.9,0.813
1705,1783400664805813816,2.377,2.194,81.4,0.754
1710,1783400664974260436,2.444,2.377,79.2,0.818
1715,1783400665132231453,2.343,2.377,82.6,0.844
1720,1783400665294566579,2.364,2.377,81.8,0.833
1725,1783400665473154717,2.303,2.364,84.0,0.855
1730,1783400665631818789,2.358,2.358,82.1,0.841
1735,1783400665806796358,2.361,2.358,82.0,0.804
1740,1783400665973844644,2.265,2.358,85.4,0.830
1745,1783400666131244809,2.329,2.329,83.1,0.853
1750,1783400666295148540,2.267,2.329,85.3,0.844
