frame,timestamp_ns,raw_z,z_filt,w_px,conf
1685,1783399805126080597,,7.618,,
1690,1783399805292661437,,7.618,,
1695,1783399805472900877,8.685,8.007,22.3,0.679
1700,1783399805625375218,,8.007,,
1705,1783399805793483625,,8.007,,
1710,1783399805961305389,2.915,8.007,66.4,0.392
1715,1783399806125286186,,8.007,,
1720,1783399806293462964,,8.007,,
1725,1783399806461484626,,8.007,,
1730,1783399806625417884,,8.007,,
1735,1783399806793517675,,8.007,,
1740,1783399806961039350,,8.007,,
1745,1783399807125400249,,8.007,,
1750,1783399807293417003,,,,
1755,1783399807461046863,,,,
1760,1783399807625198665,,,,
1765,1783399807793551226,,,,
1770,1783399807961421372,,,,
1775,1783399808125265751,,,,
1780,1783399808292573910,,,,
1785,1783399808461498134,,,,
1790,1783399808625192238,,,,
1795,1783399808793316807,,,,
1800,1783399808961626086,,,,
1805,1783399809124731172,,,,
1810,1783399809293435700,,,,
1815,1783399809461096429,0.954,,202.9,0.558
1820,1783399809625201053,0.857,0.905,225.8,0.564
1825,1783399809791806790,,0.905,,
1830,1783399809960353769,,0.905,,
